id,name,text,trans
0000000000000,咲季,この3人でユニットを組んで……？,我们三个人组成一个组合……？
0000000000000,ことね,『H.I.F』の優勝を目指すぅ～～～～～！？,以『H.I.F』的优胜为目标～～～～～！？
0000000000000,{user},はい。この3人なら、それができると思います。,是的。我相信你们三个人可以做到。
0000000000000,手毬,プロデューサー……ふざけているんですか……！,制作人……你是在开玩笑吧……！
0000000000000,手毬,私が……っ……ユニットなんて、組むわけない！,我……根本不可能组什么组合！
0000000000000,手毬,絶対にイヤ！　お断りです！,绝对不要！我拒绝！
0000000000000,咲季,こっちだってお断りよ！,我也拒绝！
0000000000000,咲季,あなたたちが誰だか知らないけど、,我不知道你们是谁，
0000000000000,咲季,このわたしは、入学試験で首席だったのよっ！,但我是入学考试的第一名！
0000000000000,咲季,わたしは、ここに、勝つためにきたの！,我是为了胜利而来的！
0000000000000,咲季,足手まといなんていらないわ！,我不需要拖后腿的！
0000000000000,手毬,井の中の蛙。,井底之蛙。
0000000000000,咲季,は、はあ！？,什、什么！？
0000000000000,手毬,今年から入学した未経験者の中で,就算在今年入学的新人中拿了第一，
0000000000000,手毬,1位を取ったからって、それがなに？,那又怎样？
0000000000000,手毬,なんの自慢にもならないのに、こっけいだね。,这根本不值得炫耀，真是可笑。
0000000000000,咲季,なっ……なんっですってぇ～～～～～～～～～～～！,你、你说什么～～～～～～～～～～～！
0000000000000,ことね,はいっ、そこまでぇ～～～～～～っ♪,好了，到此为止～～～～～～！
0000000000000,ことね,ふたりとも！　喧嘩はやめなよ～！,两位！不要吵架啦～！
0000000000000,ことね,アイドルがしちゃダメな顔になってるよ～！,你们现在的表情可不是偶像该有的哦～！
0000000000000,咲季,うっ……,呃……
0000000000000,手毬,……………ふん。,……………哼。
0000000000000,咲季,とにかく～ッ！,总之～！
0000000000000,咲季,わたしはユニットを組むなんて絶対イヤ！,我绝对不要组什么组合！
0000000000000,咲季,プロデューサー！　わたしをプロデュースしたいなら、,制作人！如果你想培育我，
0000000000000,咲季,心を入れ替えて謝りにきなさい！,就改过自新来道歉吧！
0000000000000,咲季,じゃなきゃ、この話はナシだからね！,否则，这件事就算了！
0000000000000,手毬,……プロデューサーは、当然、私を選ぶでしょ？,……制作人，当然会选择我吧？
0000000000000,手毬,これ以上、期待を裏切らないで。,不要再让我失望了。
0000000000000,ことね,コワ～……,好可怕……
0000000000000,ことね,ふたりとも怒って出ていっちゃいましたけどぉ……,两个人都生气出去了……
0000000000000,ことね,どします？　プロデューサぁ～？,怎么办？制作人～？
0000000000000,{user},藤田さんは、方針に不満はないのですか？,藤田小姐，你对这个方针没有意见吗？
0000000000000,ことね,ユニット組む～って件です？　う～ん。,关于组组合的事吗？嗯……
0000000000000,ことね,しょーじき、エラそーでめんどいやつらだナ～、,说实话，我觉得她们俩挺傲慢的，有点麻烦，
0000000000000,ことね,とは思いましたけどぉ。,不过啊。
0000000000000,ことね,入学試験首席の新入生にぃ、元エリートの歌姫サマ！,入学考试第一的新生，和原精英歌姬！
0000000000000,ことね,ふたりとも、実力は確かですもん。,她们俩的实力是毋庸置疑的。
0000000000000,ことね,願ってもない～って感じです。,真的是求之不得。
0000000000000,ことね,……ん～、でも。,……嗯～，但是。
0000000000000,ことね,さっきの様子だと無理っぽくないですかぁ？,刚才的情况看起来不太可能吧？
0000000000000,ことね,相性ちょー最悪でしたよぉ、あのふたり。,她们俩的相性超差的。
0000000000000,ことね,なのでぇ――――…………どします？,所以――――……怎么办？
0000000000000,{user},説得しましょう。,我们去说服她们。
0000000000000,ことね,あ、やっぱりそーなるんだ。,啊，果然是这样啊。
0000000000000,{user},もちろん。諦めるつもりはありません。,当然。我不会放弃的。
0000000000000,{user},なにせあなた方は、相性最高の3人です。,毕竟你们三个人是最好的组合。
0000000000000,{user},うまくいくと信じていますよ。,我相信一定会成功的。
0000000000000,ことね,（目ぇ腐ってんじゃねーの？）,（眼睛瞎了吗？）
0000000000000,ことね,（ぐぬぬ……でも、あたしは……）,（哼……但我是……）
0000000000000,ことね,（このプロデューサーに人生賭けるって決めたんだ）,（决定把一生赌在这个制作人身上了）
0000000000000,ことね,（なんだってやってやるよ、ちくしょ～～！）,（不管怎样我都会做到，真是的～～！）
0000000000000,ことね,よぉ～～～～～～～っし！,好～～～～～～～！
0000000000000,ことね,ふたりの説得、ガンバりましょーね！　プロデューサー♪,我们一定要努力说服她们！制作人♪
info,adv_unit_01-01_04.txt,,
译者,gpt-4o-2024-05-13,,
